"company_name","city","state","zip","agency","certification_type","ethnicity","commodity_code"
"*PRADO & RENTERIA CPAS, Prof. Corp.","Chicago","IL",60616,"Cook County","WBE","Hispanic American","541211 - Accountants' (i.e., CPAs) offices, certified public; 541211 - Accountants' (i.e., CPAs) private practices, certified public; 541211 - Accounting (i.e., CPAs) services, certified public; 541211 - Auditing accountants' (i.e., CPAs) offices; 541211 - Auditing accountants' (i.e., CPAs) private practices; 541211 - Auditing services (i.e., CPA services), accounts; 541211 - Auditors' (i.e., CPAs) offices, accounts; 541211 - Auditors' (i.e., CPAs) private practices, accounts; 541211 - Certified public accountants' (CPAs) offices; 541211 - CPAs' (certified public accountants) offices; 541211 - Public accountants' (CPAs) offices, certified; 541211 - Public accountants' (CPAs) private practices, certified; 541611 - Business management consulting services; 541611 - Business start-up consulting services; 541611 - General management consulting services; 541611 - Reorganizational consulting services; 541611 - Strategic planning consulting services; 541611 - Administrative Management and General Management Consulting Services; 541618 - Other Management Consulting Services; 541618 - Utilities management consulting services"
"*PRADO & RENTERIA CPAS, Prof. Corp.","Chicago","IL",60616,"Cook County","MBE","Hispanic American","541211 - Accountants' (i.e., CPAs) offices, certified public; 541211 - Accountants' (i.e., CPAs) private practices, certified public; 541211 - Accounting (i.e., CPAs) services, certified public; 541211 - Auditing accountants' (i.e., CPAs) offices; 541211 - Auditing accountants' (i.e., CPAs) private practices; 541211 - Auditing services (i.e., CPA services), accounts; 541211 - Auditors' (i.e., CPAs) offices, accounts; 541211 - Auditors' (i.e., CPAs) private practices, accounts; 541211 - Certified public accountants' (CPAs) offices; 541211 - CPAs' (certified public accountants) offices; 541211 - Public accountants' (CPAs) offices, certified; 541211 - Public accountants' (CPAs) private practices, certified; 541611 - Business management consulting services; 541611 - Business start-up consulting services; 541611 - General management consulting services; 541611 - Reorganizational consulting services; 541611 - Strategic planning consulting services; 541611 - Administrative Management and General Management Consulting Services; 541618 - Other Management Consulting Services; 541618 - Utilities management consulting services"
"*PRADO & RENTERIA CPAS, Prof. Corp.","Chicago","IL",60616,"Cook County","WBE","Hispanic American","541211 - Accountants' (i.e., CPAs) offices, certified public; 541211 - Accountants' (i.e., CPAs) private practices, certified public; 541211 - Accounting (i.e., CPAs) services, certified public; 541211 - Auditing accountants' (i.e., CPAs) offices; 541211 - Auditing accountants' (i.e., CPAs) private practices; 541211 - Auditing services (i.e., CPA services), accounts; 541211 - Auditors' (i.e., CPAs) offices, accounts; 541211 - Auditors' (i.e., CPAs) private practices, accounts; 541211 - Certified public accountants' (CPAs) offices; 541211 - CPAs' (certified public accountants) offices; 541211 - Public accountants' (CPAs) offices, certified; 541211 - Public accountants' (CPAs) private practices, certified; 541611 - Business management consulting services; 541611 - Business start-up consulting services; 541611 - General management consulting services; 541611 - Reorganizational consulting services; 541611 - Strategic planning consulting services; 541611 - Administrative Management and General Management Consulting Services; 541618 - Other Management Consulting Services; 541618 - Utilities management consulting services"
"*PRADO & RENTERIA CPAS, Prof. Corp.","Chicago","IL",60616,"Cook County","MBE","Hispanic American","541211 - Accountants' (i.e., CPAs) offices, certified public; 541211 - Accountants' (i.e., CPAs) private practices, certified public; 541211 - Accounting (i.e., CPAs) services, certified public; 541211 - Auditing accountants' (i.e., CPAs) offices; 541211 - Auditing accountants' (i.e., CPAs) private practices; 541211 - Auditing services (i.e., CPA services), accounts; 541211 - Auditors' (i.e., CPAs) offices, accounts; 541211 - Auditors' (i.e., CPAs) private practices, accounts; 541211 - Certified public accountants' (CPAs) offices; 541211 - CPAs' (certified public accountants) offices; 541211 - Public accountants' (CPAs) offices, certified; 541211 - Public accountants' (CPAs) private practices, certified; 541611 - Business management consulting services; 541611 - Business start-up consulting services; 541611 - General management consulting services; 541611 - Reorganizational consulting services; 541611 - Strategic planning consulting services; 541611 - Administrative Management and General Management Consulting Services; 541618 - Other Management Consulting Services; 541618 - Utilities management consulting services"
"1st Call Technical Services, Inc","BOLINGBROOK","IL",60440,"Chicago","VBE","Caucasian","541320 - Landscape architectural services; 541360 - Geophysical Surveying and Mapping Services; 541370 - Surveying and Mapping (except Geophysical) Services; 541620 - Environmental consulting services"
"1st Metropolitan Translation Services, Inc.","CHICAGO","IL",60611,"Chicago","WBE","Caucasian","541930 - Translation and Interpretation Services"
"1st Priority Elevator, Co.","South Holland","IL",60473,"Cook County","MBE","African-American (Black)","238290 - Elevator installation"
"2 Point Perspective, Inc.","Chicago","IL",60614,"Chicago","WBE","Caucasian","541310 - Architectural Services; 541410 - Interior design services"
"2 Sons LLC","Westchester","IL",60154,"Chicago","VBE","Hispanic/Latino","238210 - Alarm system (e.g., fire, burglar), electric, installation only; 238210 - Electrical contractors"
"2 Sons LLC","Westchester","IL",60154,"Chicago","MBE","Hispanic/Latino",NULL
"2 Sons LLC","Westchester","IL",60154,"Chicago","BEPD","Hispanic/Latino","238210 - Alarm system (e.g., fire, burglar), electric, installation only; 238210 - Electrical contractors"
"2 Sons LLC","Westchester","IL",60154,"Chicago","VBE","Hispanic/Latino","238210 - Alarm system (e.g., fire, burglar), electric, installation only; 238210 - Electrical contractors"
"2 Sons LLC","Westchester","IL",60154,"Chicago","MBE","Hispanic/Latino",NULL
"2 Sons LLC","Westchester","IL",60154,"Chicago","BEPD","Hispanic/Latino","238210 - Alarm system (e.g., fire, burglar), electric, installation only; 238210 - Electrical contractors"
"2 Sons LLC","Westchester","IL",60154,"Chicago","VBE","Hispanic/Latino","238210 - Alarm system (e.g., fire, burglar), electric, installation only; 238210 - Electrical contractors"
"2 Sons LLC","Westchester","IL",60154,"Chicago","MBE","Hispanic/Latino",NULL
"2 Sons LLC","Westchester","IL",60154,"Chicago","BEPD","Hispanic/Latino","238210 - Alarm system (e.g., fire, burglar), electric, installation only; 238210 - Electrical contractors"
"21 and Trucking, Inc.","Riverdale","IL",60827,"Chicago","MBE","African American","484220 - Dump trucking (e.g., gravel, sand, top-soil); 484220 - Trucking, specialized freight (except used goods), local"
"2IM Group, LLC","Chicago","IL",60661,"Cook County","MBE","Hispanic American","237990 - Drainage project construction; 237990 - Other Heavy and Civil Engineering Construction; 541330 - Civil engineering services"
"3 Net Wise, Inc.","Chicago","IL",60628,"Cook County","MBE","African-American (Black)","519 - Other Information Services; 6216 - Home Health Care Services"
"3 R Healthcare Products, Inc.","South Holland","IL",60473,"Cook County","WBE","African-American (Black)","424210 - Nonprescription drugs merchant wholesalers; 424210 - Prescription drugs merchant wholesalers"
"3 R Healthcare Products, Inc.","South Holland","IL",60473,"Cook County","MBE","African-American (Black)","424210 - Nonprescription drugs merchant wholesalers; 424210 - Prescription drugs merchant wholesalers"
"Shactee Engineering LLC","Woodridge","IL",60517,"Chicago","WBE","Caucasian","541330 - Engineering services"
"3 R Healthcare Products, Inc.","South Holland","IL",60473,"Cook County","WBE","African-American (Black)","424210 - Nonprescription drugs merchant wholesalers; 424210 - Prescription drugs merchant wholesalers"
"3 R Healthcare Products, Inc.","South Holland","IL",60473,"Cook County","MBE","African-American (Black)","424210 - Nonprescription drugs merchant wholesalers; 424210 - Prescription drugs merchant wholesalers"
"3 Stop Shop - P.C.","Chicago","IL",60608,"Chicago","MBE","African American","541310 - Architectural (except landscape) services; 541340 - Drafting services; 541410 - Interior design services"
"321 Co.","Crystal Lake","IL",60014,"Chicago","WBE","Caucasian","238910 - Site Preparation Contractors; 484220 - Specialized Freight (except Used Goods) Trucking, Local"
"3CD Corporation","Country Club Hills","IL",60478,"Chicago","MBE","African American","236220 - Commercial and Institutional Building Construction; 237310 - Highway, Street, and Bridge Construction; 238110 - Poured Concrete Foundation and Structure Contractors; 238120 - Structural Steel and Precast Concrete Contractors; 238140 - Masonry Contractors; 238340 - Tile and Terrazzo Contractors; 238910 - Site Preparation Contractors"
"40 Cal Trucking, Inc.","Country Club Hills","IL",60478,"Chicago","MBE","African American","484110 - Trucking, general freight, local; 484220 - Specialized Freight (except Used Goods) Trucking, Local"
"4HD INC","Lombard","IL",60148,"Chicago","WBE","Caucasian","237310 - Construction management, highway, road, street and bridge"
"5366 Logistics Corp","Richmond","IL",60071,"Chicago","VBE","Hispanic/Latino","236220 - Construction management, commercial and institutional building; 238110 - Concrete repair; 238910 - Dirt moving for construction; 484110 - General freight trucking, local; 484121 - Trucking, general freight, long-distance, truckload (TL); 484122 - Trucking, general freight, long-distance, less-than-truckload (LTL); 484220 - Dump trucking (e.g., gravel, sand, top-soil); 562119 - Waste (except solid and hazardous) hauling, local"
"5366 Logistics Corp","Richmond","IL",60071,"Chicago","BEPD","Hispanic/Latino","236220 - Construction management, commercial and institutional building; 238110 - Concrete repair; 238910 - Dirt moving for construction; 484110 - General freight trucking, local; 484121 - Trucking, general freight, long-distance, truckload (TL); 484122 - General Freight Trucking, Long-Distance, Less Than Truckload; 484220 - Dump trucking (e.g., gravel, sand, top-soil); 562119 - Waste (except solid and hazardous) hauling, local"
"5366 Logistics Corp","Richmond","IL",60071,"Chicago","VBE","Hispanic/Latino","236220 - Construction management, commercial and institutional building; 238110 - Concrete repair; 238910 - Dirt moving for construction; 484110 - General freight trucking, local; 484121 - Trucking, general freight, long-distance, truckload (TL); 484122 - Trucking, general freight, long-distance, less-than-truckload (LTL); 484220 - Dump trucking (e.g., gravel, sand, top-soil); 562119 - Waste (except solid and hazardous) hauling, local"
"5366 Logistics Corp","Richmond","IL",60071,"Chicago","BEPD","Hispanic/Latino","236220 - Construction management, commercial and institutional building; 238110 - Concrete repair; 238910 - Dirt moving for construction; 484110 - General freight trucking, local; 484121 - Trucking, general freight, long-distance, truckload (TL); 484122 - General Freight Trucking, Long-Distance, Less Than Truckload; 484220 - Dump trucking (e.g., gravel, sand, top-soil); 562119 - Waste (except solid and hazardous) hauling, local"
"606 Digital Inc.","Chicago","IL",60603,"Chicago","WBE","Caucasian","541512 - Computer Systems Design Services; 541611 - Administrative Management and General Management Consulting Services"
"6C's, LLC","Chicago","IL",60617,"Chicago","MBE","Hispanic/Latino","238910 - Concrete breaking and cutting for demolition"
"720 Worldwide Inc.","Chicago","IL",60603,"Cook County","MBE","Asian-Pacific American","518210 - Web hosting; 518210 - Data Processing, Hosting, and Related Services; 54151 - Computer Systems Design and Related Services; 541519 - Other Computer Related Services"
"88 MIKES INC.","Marengo","IL",60152,"Chicago","VBE","Hispanic/Latino","484220 - Dump trucking (e.g., gravel, sand, top-soil)"
"88 MIKES INC.","Marengo","IL",60152,"Chicago","MBE","Hispanic/Latino","484220 - Dump trucking (e.g., gravel, sand, top-soil)"
"88 MIKES INC.","Marengo","IL",60152,"Chicago","VBE","Hispanic/Latino","484220 - Dump trucking (e.g., gravel, sand, top-soil)"
"88 MIKES INC.","Marengo","IL",60152,"Chicago","MBE","Hispanic/Latino","484220 - Dump trucking (e.g., gravel, sand, top-soil)"
"88 MIKES INC.","Marengo","IL",60152,"Chicago","VBE","Hispanic/Latino","484220 - Dump trucking (e.g., gravel, sand, top-soil)"
"88 MIKES INC.","Marengo","IL",60152,"Chicago","MBE","Hispanic/Latino","484220 - Dump trucking (e.g., gravel, sand, top-soil)"
"8th Day Consulting, Training & Software","Oak Forest","IL",60452,"Chicago","WBE","Caucasian","518210 - Data capture imaging services; 518210 - Optical scanning services; 541511 - Computer programming services, custom; 541511 - Software analysis and design services, custom computer; 541512 - Computer software consulting services or consultants; 541519 - Software installation services, computer; 541611 - Records management consulting services; 541611 - Reorganizational consulting services; 541690 - Security consulting services; 561410 - Document preparation services; 611420 - Computer Training; 611710 - Educational support services"
"A & A Drywall And Taping Services, Inc.","Chicago","IL",60636,"Chicago","MBE","Hispanic/Latino","238310 - Acoustical ceiling tile and panel installation; 238310 - Building insulation contractors; 238310 - Ceiling tile installation; 238310 - Drop ceiling installation; 238310 - Drywall contractors; 238310 - Drywall finishing (e.g., sanding, spackling, stippling, taping, texturing); 238310 - Drywall hanging; 238310 - Drywall installation; 238310 - Finishing drywall contractors; 238310 - Glass fiber insulation installation; 238310 - Gypsum board installation; 238310 - Insulation contractors; 238310 - Mineral wool insulation installation; 238310 - Suspended ceiling installation; 238310 - Taping and finishing drywall; 238320 - House painting; 238320 - Paint and wallpaper stripping; 238320 - Painting (except roof) contractors; 238320 - Painting and wallpapering; 238350 - Door, folding, installation; 238350 - Finish carpentry; 238350 - Molding or trim, wood or plastic, installation; 238350 - Prefabricated kitchen and bath cabinet, residential-type, installation; 238350 - Trim and finish carpentry contractors; 238350 - Window and door (residential-type) of any material, prefabricated, installation; 238350 - Window, metal-frame residential-type, installation"
"A & B Sanchez Landscaping, Inc.","Arlington Heights","IL",60004,"Chicago","MBE","Hispanic/Latino","56173 - Landscaping Services"
"A & D Property Services, Inc.","Chicago","IL",60649,"Chicago","MBE","African American","531390 - Other Activities Related to Real Estate; 561790 - Other Services to Buildings and Dwellings"
"A & D Property Services, Inc.","Chicago","IL",60649,"Chicago","MBE","African American","531390 - Other Activities Related to Real Estate; 561790 - Other Services to Buildings and Dwellings"
"A & G Cleaning Services","Chicago","IL",60637,"Chicago","MBE","African American","561720 - Janitorial services"
"A & H Mechanical, Inc.","Chicago","IL",60619,"Chicago","MBE","African American","238220 - Heating, ventilation and air-conditioning (HVAC) contractors; 238220 - Plumbing, Heating, and Air-Conditioning Contractors"
"A & J GENERAL CONSTRUCTION CO","CHICAGO","IL",60617,"Chicago","MBE","Hispanic/Latino","238110 - Poured Concrete Foundation and Structure Contractors; 238310 - Drywall and Insulation Contractors; 238320 - Painting and wallpapering; 238330 - Flooring Contractors"
"A & L Environmental LLC","Chicago","IL",60619,"Chicago","MBE","African American","236220 - Addition, alteration and renovation, for-sale builders, commercial and institutional building; 238330 - Floor laying, scraping, finishing and refinishing; 561720 - Cleaning homes; 561730 - Landscaping Services; 561990 - Flagging (i.e., traffic control) services; 562910 - Asbestos abatement services; 562910 - Lead paint abatement services; 562910 - Remediation Services; 562910 - Mold remediation services"
"A & L Environmental LLC","Chicago","IL",60619,"Chicago","MBE","African American","236220 - Addition, alteration and renovation, for-sale builders, commercial and institutional building; 238330 - Floor laying, scraping, finishing and refinishing; 561720 - Cleaning homes; 561730 - Landscaping Services; 561990 - Flagging (i.e., traffic control) services; 562910 - Asbestos abatement services; 562910 - Lead paint abatement services; 562910 - Remediation Services; 562910 - Mold remediation services"
"A & M General Contractor, Inc.","Chicago","IL",60620,"Cook County","WBE","African-American (Black)","488490 - Snow removal, highway; 561730 - Landscaping services (except planning)"
"A & M General Contractor, Inc.","Chicago","IL",60620,"Cook County","MBE","African-American (Black)","488490 - Snow removal, highway; 561730 - Landscaping services (except planning)"
"A & M General Contractor, Inc.","Chicago","IL",60620,"Cook County","WBE","African-American (Black)","488490 - Snow removal, highway; 561730 - Landscaping services (except planning)"
"A & M General Contractor, Inc.","Chicago","IL",60620,"Cook County","MBE","African-American (Black)","488490 - Snow removal, highway; 561730 - Landscaping services (except planning)"
"A & O Enterprises, Inc.","Chicago","IL",60608,"Chicago","MBE","Hispanic/Latino","541620 - Environmental consulting services; 541690 - Safety consulting services"
"A & O Recovery Solutions, LLC.","Chicago","IL",60612,"Chicago","MBE","African American","541611 - Administrative Management and General Management Consulting Services; 561440 - Collection agencies; 561611 - Investigation Services"
"A & T Trucking Company","Broadview","IL",60155,"Chicago","MBE","African American","484110 - General freight trucking, local"
"A and C Electric Company, Inc.","Arlington Heights","IL",60005,"Chicago","MBE","Hispanic/Latino","238210 - Cable splicing, electrical or fiber optic; 238210 - Electric contracting; 238210 - Electric power control panel and outlet installation; 238210 - Electrical contractors; 238210 - Electrical wiring contractors; 238210 - Electrical work; 238210 - Electrician; 238210 - Electronic control installation and service; 238210 - Electronic control system installation; 238210 - Lighting system installation; 238210 - Low voltage electrical work"
"A B Petroleum Services, Inc.","Crystal Lake","IL",60014,"Cook County","WBE","Caucasian","424720 - Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)"
"A GUIZAR TRUCKING INC","BERWYN","IL",60402,"Chicago","MBE","Hispanic/Latino","484220 - Dump trucking (e.g., gravel, sand, top-soil)"
"A M Perez Trucking Company","Lombard","IL",60148,"Chicago","WBE","Hispanic/Latino","484110 - Bulk mail truck transportation, contract, local; 484220 - Specialized Freight (except Used Goods) Trucking, Local"
"A M Perez Trucking Company","Lombard","IL",60148,"Chicago","MBE","Hispanic/Latino","484110 - Bulk mail truck transportation, contract, local; 484220 - Specialized Freight (except Used Goods) Trucking, Local"
"A M Perez Trucking Company","Lombard","IL",60148,"Chicago","WBE","Hispanic/Latino","484110 - Bulk mail truck transportation, contract, local; 484220 - Specialized Freight (except Used Goods) Trucking, Local"
"A M Perez Trucking Company","Lombard","IL",60148,"Chicago","MBE","Hispanic/Latino","484110 - Bulk mail truck transportation, contract, local; 484220 - Specialized Freight (except Used Goods) Trucking, Local"
"BECKLEY ENGINEERING LLC","MATTESON","IL",60443,"Chicago","MBE","African American","541330 - Engineering services"
"A Perfect Sign, Inc.","Chicago","IL",60660,"Cook County","WBE","African-American (Black)","541430 - Graphic design services"
"A Perfect Sign, Inc.","Chicago","IL",60660,"Cook County","MBE","African-American (Black)","541430 - Graphic design services"
"A Perfect Sign, Inc.","Chicago","IL",60660,"Cook County","WBE","African-American (Black)","541430 - Graphic design services"
"A Perfect Sign, Inc.","Chicago","IL",60660,"Cook County","MBE","African-American (Black)","541430 - Graphic design services"
"A Secure Foundation, LLC","Matteson","IL",60443,"Cook County","WBE","African-American (Black)","611430 - Professional and Management Development Training; 611513 - Apprenticeship Training; 621330 - Offices of Mental Health Practitioners (except Physicians); 621340 - Offices of Physical, Occupational and Speech Therapists, and Audiologists; 621410 - Family planning centers; 624120 - Services for the Elderly and Persons with Disabilities; 624229 - Other Community Housing Services; 624230 - Emergency and Other Relief Services; 624310 - Vocational Rehabilitation Services"
"A Secure Foundation, LLC","Matteson","IL",60443,"Cook County","MBE","African-American (Black)","611430 - Professional and Management Development Training; 611513 - Apprenticeship Training; 621330 - Offices of Mental Health Practitioners (except Physicians); 621340 - Offices of Physical, Occupational and Speech Therapists, and Audiologists; 621410 - Family planning centers; 624120 - Services for the Elderly and Persons with Disabilities; 624229 - Other Community Housing Services; 624230 - Emergency and Other Relief Services; 624310 - Vocational Rehabilitation Services"
"A Secure Foundation, LLC","Matteson","IL",60443,"Cook County","WBE","African-American (Black)","611430 - Professional and Management Development Training; 611513 - Apprenticeship Training; 621330 - Offices of Mental Health Practitioners (except Physicians); 621340 - Offices of Physical, Occupational and Speech Therapists, and Audiologists; 621410 - Family planning centers; 624120 - Services for the Elderly and Persons with Disabilities; 624229 - Other Community Housing Services; 624230 - Emergency and Other Relief Services; 624310 - Vocational Rehabilitation Services"
"A Secure Foundation, LLC","Matteson","IL",60443,"Cook County","MBE","African-American (Black)","611430 - Professional and Management Development Training; 611513 - Apprenticeship Training; 621330 - Offices of Mental Health Practitioners (except Physicians); 621340 - Offices of Physical, Occupational and Speech Therapists, and Audiologists; 621410 - Family planning centers; 624120 - Services for the Elderly and Persons with Disabilities; 624229 - Other Community Housing Services; 624230 - Emergency and Other Relief Services; 624310 - Vocational Rehabilitation Services"
"A Train Transportation","Chicago Heights","IL",60411,"Chicago","MBE","African American","484220 - Dump trucking (e.g., gravel, sand, top-soil)"
"A VET Communications, Inc.","Midlothian","IL",60445,"Chicago","VBE","Hispanic/Latino","236220 - Commercial and Institutional Building Construction; 238210 - Electrical Contractors and Other Wiring Installation Contractors"
"A VET Communications, Inc.","Midlothian","IL",60445,"Chicago","MBE","Hispanic/Latino","236220 - Commercial and Institutional Building Construction; 238210 - Electrical Contractors and Other Wiring Installation Contractors"
"A VET Communications, Inc.","Midlothian","IL",60445,"Chicago","VBE","Hispanic/Latino","236220 - Commercial and Institutional Building Construction; 238210 - Electrical Contractors and Other Wiring Installation Contractors"
"A VET Communications, Inc.","Midlothian","IL",60445,"Chicago","MBE","Hispanic/Latino","236220 - Commercial and Institutional Building Construction; 238210 - Electrical Contractors and Other Wiring Installation Contractors"
"A WMBE CARPENTRY CONTRACTORS","Hoffman Estates","IL",60010,"Chicago","WBE","Asian American","238130 - Framing contractors; 238350 - Finish Carpentry Contractors"
"A WMBE CARPENTRY CONTRACTORS","Hoffman Estates","IL",60010,"Chicago","MBE","Asian American","238130 - Framing contractors; 238350 - Finish Carpentry Contractors"
"A WMBE CARPENTRY CONTRACTORS","Hoffman Estates","IL",60010,"Chicago","WBE","Asian American","238130 - Framing contractors; 238350 - Finish Carpentry Contractors"
"A WMBE CARPENTRY CONTRACTORS","Hoffman Estates","IL",60010,"Chicago","MBE","Asian American","238130 - Framing contractors; 238350 - Finish Carpentry Contractors"
"A&A TRANSPORT SERVICES INC.","CHICAGO","IL",60638,"Chicago","MBE","Hispanic/Latino","484220 - Specialized Freight (except Used Goods) Trucking, Local"
"A&R Concrete Construction Company","Blue Island","IL",60406,"Chicago","MBE","African American","238110 - Poured Concrete Foundation and Structure Contractors"
"A&R Janitorial Service, Inc.","Westchester","IL",60154,"Chicago","WBE","Hispanic/Latino","561720 - Janitorial services"
"A&R Janitorial Service, Inc.","Westchester","IL",60154,"Chicago","MBE","Hispanic/Latino","561720 - Janitorial services"
"A&R Janitorial Service, Inc.","Westchester","IL",60154,"Chicago","WBE","Hispanic/Latino","561720 - Janitorial services"
"A&R Janitorial Service, Inc.","Westchester","IL",60154,"Chicago","MBE","Hispanic/Latino","561720 - Janitorial services"
"A-FAST BOARD UP & GLASS, INC.","BARRINGTON HILLS","IL",60010,"Chicago","MBE","Hispanic/Latino","238150 - Glass and Glazing Contractors"
"A-MASONRY GROUP, INC","Evergreen Park","IL",60805,"Chicago","MBE","Hispanic/Latino","238140 - Masonry Contractors"
"A. Alva Rosales & Assocs., LTD","Chicago","IL",60616,"Cook County","WBE","Hispanic American","541512 - Computer hardware consulting services or consultants; 541512 - Computer software consulting services or consultants; 541611 - Administrative Management and General Management Consulting Services; 561990 - All Other Support Services; 611420 - Computer training (except repair)"
"A. Alva Rosales & Assocs., LTD","Chicago","IL",60616,"Cook County","MBE","Hispanic American","541512 - Computer hardware consulting services or consultants; 541512 - Computer software consulting services or consultants; 541611 - Administrative Management and General Management Consulting Services; 561990 - All Other Support Services; 611420 - Computer training (except repair)"
"BNMO Design LLC","Chicago","IL",60618,"Chicago","WBE","Caucasian","541310 - Building architectural design services"
"A. Alva Rosales & Assocs., LTD","Chicago","IL",60616,"Cook County","WBE","Hispanic American","541512 - Computer hardware consulting services or consultants; 541512 - Computer software consulting services or consultants; 541611 - Administrative Management and General Management Consulting Services; 561990 - All Other Support Services; 611420 - Computer training (except repair)"
"A. Alva Rosales & Assocs., LTD","Chicago","IL",60616,"Cook County","MBE","Hispanic American","541512 - Computer hardware consulting services or consultants; 541512 - Computer software consulting services or consultants; 541611 - Administrative Management and General Management Consulting Services; 561990 - All Other Support Services; 611420 - Computer training (except repair)"
"A. C. Brown Painting & Decorating Company, Inc.","Chicago","IL",60619,"Chicago","MBE","African American","238130 - Framing contractors; 238320 - Painting and Wall Covering Contractors; 238350 - Finish Carpentry Contractors; 561720 - Janitorial services"
"A. D. Floor Care, Inc.","Homer Glen","IL",60491,"Chicago","WBE","Caucasian","238330 - Flooring Contractors; 561720 - Janitorial services"
"A. Lavelle Consulting Services Llc","Chicago","IL",60601,"Chicago","WBE","African American","541611 - Administrative Management and General Management Consulting Services; 541820 - Public relations agencies"
"A. Lavelle Consulting Services Llc","Chicago","IL",60601,"Chicago","MBE","African American","541611 - Administrative Management and General Management Consulting Services; 541820 - Public relations agencies"
"A. Lavelle Consulting Services Llc","Chicago","IL",60601,"Chicago","WBE","African American","541611 - Administrative Management and General Management Consulting Services; 541820 - Public relations agencies"
"A. Lavelle Consulting Services Llc","Chicago","IL",60601,"Chicago","MBE","African American","541611 - Administrative Management and General Management Consulting Services; 541820 - Public relations agencies"
"A. WBE Construction Services, LLC","Itasca","IL",60143,"Cook County","WBE","Caucasian","236115 - New Single-Family Housing Construction (except For-Sale Builders); 236116 - Housing, multifamily, construction general contractors; 236116 - New Multifamily Housing Construction (except For-Sale Builders); 236210 - Addition, alteration and renovation, general contractors, industrial building (except warehouses); 236210 - Addition, alteration and renovation, for-sale builders, industrial building (except warehouses); 236220 - Addition, alteration and renovation, for-sale builders, commercial and institutional building; 236220 - Addition, alteration and renovation, general contractors, commercial and institutional building"
"A. Weinstein & Associates","Des Plaines","IL",60016,"Chicago","WBE","Caucasian","424450 - Confectionery merchant wholesalers"
"A. Weinstein & Associates","Des Plaines","IL",60016,"Chicago","WBE","Caucasian","424450 - Confectionery merchant wholesalers"
"A.A. Construction Management Company, Inc.","Arlington Heights","IL",60005,"Chicago","MBE","Hispanic/Latino","236220 - Construction management, commercial and institutional building; 238350 - Finish carpentry"
"A.G. Construction Services Inc.","Harvey","IL",60426,"Chicago","MBE","African American","238140 - Brick veneer, installation; 238140 - Bricklaying contractors; 238140 - Cement block laying; 238140 - Chimney, brick, block or stone, contractors; 238140 - Cinder block installation; 238140 - Fireplace, masonry, installation; 238140 - Glass block laying; 238140 - Glass unit (i.e., glass block) masonry; 238140 - Masonry Contractors; 238140 - Masonry pointing, cleaning or caulking; 238140 - Stonework (i.e., masonry) contractors; 238140 - Tuck pointing contractors"
"A.L.L. Masonry Construction Co., Inc.","Cicero","IL",60804,"Chicago","MBE","Hispanic/Latino","236210 - Industrial Building Construction; 236220 - Commercial building construction general contractors"
"A.L.L. Masonry Construction Co., Inc.","Cicero","IL",60804,"Chicago","MBE","Hispanic/Latino","236210 - Industrial Building Construction; 236220 - Commercial building construction general contractors"
"ACCRETIX INC","Palatine","IL",60067,"Cook County","MBE","Asian-Pacific American","54151 - Computer Systems Design and Related Services; 541511 - Computer software programming services, custom; 541512 - Computer software consulting services or consultants"
"A.M.C. Mechanical, Inc.","ORLAND PARK","IL",60467,"Cook County","MBE","Hispanic American","238220 - Air-conditioning system (except window) installation; 238220 - Boiler, heating, installation; 238220 - Central air-conditioning equipment installation; 238220 - Central cooling equipment and piping installation; 238220 - Central heating equipment and piping installation; 238220 - Duct work (e.g., cooling, dust collection, exhaust, heating, ventilation) installation; 238220 - Mechanical contractors"
"A.M.P.S. Distributors Inc.","Glenwood","IL",60425,"Chicago","MBE","African American","722310 - Food service contractors, concession operator (e.g., convention facilities, entertainment facilities, sporting facilities)"
"A.S.A.P. Transportation Inc.","OAK LAWN","IL",60453,"Cook County","WBE","African-American (Black)","485991 - Paratransit transportation services; 812990 - All Other Personal Services"
"A.S.A.P. Transportation Inc.","OAK LAWN","IL",60453,"Cook County","MBE","African-American (Black)","485991 - Paratransit transportation services; 812990 - All Other Personal Services"
"A.S.A.P. Transportation Inc.","OAK LAWN","IL",60453,"Cook County","WBE","African-American (Black)","485991 - Paratransit transportation services; 812990 - All Other Personal Services"
"A.S.A.P. Transportation Inc.","OAK LAWN","IL",60453,"Cook County","MBE","African-American (Black)","485991 - Paratransit transportation services; 812990 - All Other Personal Services"
"A/Z Analytical Consulting Services, Inc.","Arlington Heights","IL",60004,"Chicago","WBE","Caucasian","541690 - Chemical consulting services"
"a1a Design Group Corporation","Chicago","IL",60605,"Cook County","WBE","Caucasian","541330 - Engineering services"
"A1PLUSSOFT, INC","NAPERVILLE","IL",60564,"Chicago","MBE","Asian American","541511 - Custom Computer Programming Services; 541512 - Computer Systems Design Services; 541519 - Other Computer Related Services; 541611 - Administrative Management and General Management Consulting Services; 541618 - Other Management Consulting Services"
"A1PLUSSOFT, INC","NAPERVILLE","IL",60564,"Chicago","MBE","Asian American","541511 - Custom Computer Programming Services; 541512 - Computer Systems Design Services; 541519 - Other Computer Related Services; 541611 - Administrative Management and General Management Consulting Services; 541618 - Other Management Consulting Services"
"A2 Landscape Contractors, Inc.","Chicago","IL",60630,"Chicago","WBE","Caucasian","561730 - Landscaping services (except planning)"
